Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3943917881",,manufacturer,"1",,garmin_product,"2413",,type,"1",,,,,,,,,,,
Definition,1,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"420",,,,,,,,,,,,,,,,,,,,
Definition,2,software,part_number,12,,version,1,,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2413-00",,version,"4.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-03",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-08",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-04",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-05",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-09",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-00",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-06",,version,"3.1",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-07",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-01",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-02",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-13",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-11",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-12",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-10",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-17",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-14",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-15",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D5590-16",,version,"3.2",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-D1074-00",,version,"19.0",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B1620-00",,version,"3.0",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2414-00",,version,"3.5",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B1909-00",,version,"3.6",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2196-00",,version,"2.3",,,,,,,,,,,,,,,,,
Data,2,software,part_number,"006-B2415-00",,version,"2.9",,,,,,,,,,,,,,,,,
Definition,3,capabilities,workouts_supported,1,,connectivity_supported,1,,sports,1,,unknown,1,,unknown,1,,,,,,,,
Data,3,capabilities,workouts_supported,"1923",,connectivity_supported,"553666554",,sports,"39",,unknown,"1",,unknown,"1",,,,,,,,
Definition,4,file_capabilities,directory,16,,max_count,1,,type,1,,flags,1,,,,,,,,,,,
Data,4,file_capabilities,max_count,"1",,type,"1",,flags,"2",,,,,,,,,,,,,,
Data,4,file_capabilities,directory,"Settings",,max_count,"1",,type,"2",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Sports",,max_count,"6",,type,"3",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Activity",,max_count,"75",,type,"4",,flags,"10",,,,,,,,,,,
Data,4,file_capabilities,directory,"Workouts",,max_count,"25",,type,"5",,flags,"14",,,,,,,,,,,
Data,4,file_capabilities,directory,"Courses",,max_count,"30",,type,"6",,flags,"14",,,,,,,,,,,
Data,4,file_capabilities,directory,"Schedule",,max_count,"1",,type,"7",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Location",,max_count,"1",,type,"8",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Totals",,max_count,"1",,type,"10",,flags,"2",,,,,,,,,,,
Data,4,file_capabilities,directory,"Goals",,max_count,"1",,type,"11",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Records",,max_count,"1",,type,"29",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"MltSport",,max_count,"5",,type,"33",,flags,"6",,,,,,,,,,,
Data,4,file_capabilities,directory,"Monitor",,max_count,"20",,type,"32",,flags,"10",,,,,,,,,,,
Data,4,file_capabilities,directory,"Adjstmts",,max_count,"5",,type,"39",,flags,"14",,,,,,,,,,,
Definition,5,mesg_capabilities,mesg_num,1,,count,1,,file,1,,count_type,1,,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"3",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"4",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"5",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"6",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"127",,num_per_file,"1",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"147",,num_per_file,"20",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"8",,num_per_file,"6",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"53",,num_per_file,"11",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"9",,num_per_file,"8",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"14",,num_per_file,"7",,file,"2",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"14",,num_per_file,"20",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"16",,num_per_file,"10",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"74",,num_per_file,"1",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"17",,num_per_file,"5",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"152",,num_per_file,"1",,file,"3",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"144",,num_per_file,"5",,file,"33",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"19",,max_per_file_type,"200",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"20",,max_per_file_type,"14000",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"32",,max_per_file_type,"100",,file,"6",,count_type,"2",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"158",,max_per_file,"5",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"27",,max_per_file,"50",,file,"5",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"28",,max_per_file,"200",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"137",,max_per_file,"5",,file,"7",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"29",,max_per_file,"100",,file,"8",,count_type,"1",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"30",,num_per_file,"20",,file,"9",,count_type,"0",,,,,,,,,,,
Data,5,mesg_capabilities,mesg_num,"114",,num_per_file,"10",,file,"29",,count_type,"0",,,,,,,,,,,
Definition,6,field_capabilities,mesg_num,1,,count,1,,file,1,,field_num,1,,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"5",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"14",,count,"4",,file,"3",,field_num,"7",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"0",,,,,,,,,,,
Data,6,field_capabilities,mesg_num,"20",,count,"1",,file,"4",,field_num,"1",,,,,,,,,,,
Definition,7,unknown,unknown,16,,unknown,16,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,
Data,7,unknown,unknown,"WIFI",,unknown,"OUT.BIN",,unknown,"0",,unknown,"1",,unknown,"2",,unknown,"0",,,,,
Data,7,unknown,unknown,"WIFI",,unknown,"IN.BIN",,unknown,"1",,unknown,"1",,unknown,"4",,unknown,"0",,,,,
Data,7,unknown,unknown,"REMOTESW",,unknown,"EPO.BIN",,unknown,"2",,unknown,"1",,unknown,"4",,unknown,"1",,,,,
